parasite_index,connected_localities
26372,North America
21038,Europe
21279,North America
26449,North America
21706,North America
233,Atlantic Ocean
730,Atlantic Ocean
2547,North America
3819,Atlantic Ocean
19704,Atlantic Ocean
21061,North America
21732,North America
21753,Atlantic Ocean
28125,Atlantic Ocean
235,North America
6667,North America
13170,North America
13178,North America
9834,Europe
22636,South America
20127,Europe
22706,North America
22801,South America
22802,North America
20234,South America
22848,South America
22949,North America
22985,North America
23026,North America
26347,North America
26361,North America
20266,Africa
1881,Africa
4355,Europe
5144,Asia
5244,North America
5291,Europe
2897,Europe
6055,Europe
6069,Europe
6078,Europe
4530,Europe
4531,Europe
6545,Asia
4533,North America
7319,Europe
6213,Europe
4996,Europe
2812,Europe
7909,Asia
9031,Europe
4512,Africa
9341,Europe
5188,North America
11034,Australia
11474,Africa
11761,Europe
11731,Australia
11874,Europe
9853,Asia
11720,Asia
13143,Asia
13719,Europe
11868,Europe
11888,Europe
14829,Europe
10270,South America
15015,Africa
13441,Europe
11764,Europe
11078,Australia
15259,Europe
9592,Europe
11762,Australia
10288,North America
11878,Asia
11871,Europe
18783,Europe
11892,Europe
20195,South America
20197,Europe
21913,Australia
22958,South America
23261,Europe
22211,Europe
24162,Asia
24396,Asia
24592,Europe
26124,North America
27851,North America
28029,Europe
28034,Europe
28040,Europe
20139,North America
28258,Europe
30134,Europe
30141,Europe
30143,Asia
30156,Europe
22209,Europe
4316,Europe
7061,Asia
7081,Asia
7154,Asia
7318,Asia
7325,Asia
7352,Asia
4534,Africa
7364,Asia
7377,Asia
8272,Asia
8274,Asia
4279,Asia
4894,Africa
11901,Asia
11906,Asia
11912,Asia
12671,Asia
10404,Europe
12147,Europe
15166,Asia
15260,Asia
15286,Asia
15287,Asia
16389,Asia
16390,Asia
16391,Asia
16458,Asia
